Name Commander
Draw Your Weapons Kwain, Itinerant Meddler
Pheldagriff Pheldagriff
Food and Fellowship Frodo, Adventurous Hobbit // Sam, Loyal Attendant
Sefris Sefris of the Hidden Ways
Grand Larceny Gonti, Canny Acquisitor
You sucky sucky Elas il-Kor, Sadistic Pilgrim
Freyalise Freyalise, Llanowar's Fury
Long Live the Queen Marchessa
The Bear Necessities Ruxa, Patient Professor
Shinigami Shirei, Shizo's Caretaker
Fae Dominion Tegwyll, Duke of Splendor
Naya Norin, Norin
Lord of Pain Lord of Pain
Tarmagoyf Alt Coram, the Underaker
Arjun Arjun, the Shifting Flame
Big Booty Oxy Baldin
Cadira Cadira, Caller of the Small
Krenko Krenko, Mob Boss
Dragon Stompy The Ur-Dragon
Raining Cats & Dogs Rin and Seri, Inseparable
Brudiclad Brudiclad, Telchor Engineer
Release the Kraken Kenessos
The Gift Horse's mouth Eriette of the Charmed Apple
The Last Samurai Testuo, Imperial Champion
Puss in Boots Balan, Wandering Knight
Isshin Isshin, Two Heavens as One
Tarmogoyf Disa the Restless
Helga Helga
Everytime We Touch Averna, the Chaos Bloom
Ivy Green Ivy, Gleeful Spellthief
Morphin' Time Kadena, Slinking Sorcerer
Slicer Slicer, Hired Muscle
Henzie Henzie "Toolbox" Torre
Tasigur Tasigur, the Golden Fang
The Book's Cover Kykar, Wind's Fury
You Can Count On Me Kros, Defense Contractor
Big Booty v2 Rasaaad
For Valor Sidar Jabari of Zhalfir
Creepy Crawlies Grist, the Hunger Tide
Duel of the Fates Aminatou, the Fateshifter
Grave Danger Skullbriar, the Walking Grave
Silent Night Ramses, Assassin Lord
Socialist Triplets Sen Triplets
The Wild Hunt Tovolar, Dire Overlord
Squishy Tribal Tetsuko Umezawa, Fugitive
Elminster Elminster
Winota Winota, Joiner of Forces
Horror Stories Umbris, Fear Manifest
